5,46,59,0
6,53,60,0
10,48,59,1
19,41,50,8
17,39,55,0
8,34,44,0
8,52,56,6
5,53,49,6
5,61,59,3
12,47,52,7
16,40,41,10
20,32,45,7
8,49,55,13
8,59,57,8
22,37,53,9
18,42,48,12
10,38,40,8
14,42,43,12
15,34,39,18
24,50,44,16
6,45,52,8
16,47,48,12
16,59,37,22
10,45,52,12
19,18,33,7
16,48,50,17
12,32,38,7
13,43,50,13
12,44,43,19
9,52,36,11
4,39,37,8
14,45,55,10
11,47,53,13
8,48,51,15
12,47,53,15
11,43,52,11
14,49,52,23
13,55,63,13
15,54,49,20
11,48,56,11
11,40,36,10
24,44,51,16
14,42,48,18
14,40,46,14
9,60,54,19
18,41,48,17
10,47,54,15
9,58,48,25
12,41,48,18
18,38,48,18
19,39,52,13
18,39,46,16
27,43,44,14
21,45,41,12
19,32,50,8
23,53,45,14
15,46,46,18
18,39,51,13
16,47,47,21
12,38,45,11
17,39,46,15
16,40,51,11
7,50,56,15
26,60,50,17
9,44,46,12
7,52,59,19
12,44,54,18
1,56,53,20
19,48,37,21
18,45,46,18
13,49,51,11
13,50,54,17
10,52,54,13
17,39,53,7
7,39,35,8
8,45,51,17
5,58,55,22
14,46,52,18
10,49,49,15
11,59,53,16
10,59,43,25
14,58,54,19
17,44,53,17
14,42,40,19
24,34,40,15
21,42,34,19
23,47,40,21
17,40,48,18
14,51,55,18
12,47,49,17
12,51,50,20
5,53,56,2
10,49,51,19
14,42,47,16
12,56,54,3
9,46,51,14
9,56,51,27
15,55,56,17
16,50,53,18
13,40,45,15
13,44,48,19
14,33,51,10
12,49,48,19
15,48,47,20
36,63,63,20
21,50,60,17
8,59,51,21
16,37,47,13
15,44,48,15
17,33,44,13
17,44,43,19
16,62,49,20
15,40,43,15
15,45,46,15
21,28,41,10
24,35,48,15
16,36,44,15
2,56,40,19
25,37,51,16
19,45,44,19
26,46,57,19
14,49,52,19
3,51,34,15
15,41,47,16
14,42,41,17
30,36,51,16
16,47,45,18
16,40,51,14
14,42,50,18
15,53,43,20
16,45,43,20
10,52,51,18
16,38,45,19
13,44,33,12
19,40,44,18
8,47,34,22
18,46,45,20
12,45,48,20
12,44,41,19
12,51,51,17
14,43,41,16
12,49,50,20
6,57,56,9
15,41,37,22
20,39,47,11
9,44,55,9
15,43,47,19
14,50,48,22
15,42,50,13
13,48,49,21
35,41,53,19
9,38,40,16
9,53,47,25
29,47,51,18
19,38,47,17
13,48,49,21
12,46,46,15
18,34,44,14
17,44,48,20
14,47,50,16
19,39,50,17
15,45,49,20
14,43,52,13
6,63,55,13
15,40,32,16
11,40,47,13
29,41,57,16
16,43,44,17
18,48,52,17
19,31,43,13
12,47,49,15
13,52,50,18
21,41,54,15
19,39,50,14
17,36,50,11
22,40,51,16
15,49,51,19
16,48,47,19
11,39,34,16
15,43,47,20
14,43,45,18
13,42,55,17
11,51,58,16
17,46,49,20
11,48,49,19
19,36,45,16
11,40,39,16
32,43,55,19
9,49,31,5
15,51,50,22
17,51,54,17
8,38,38,14
16,40,46,15
19,56,60,18
8,51,55,15
15,49,52,19
16,47,52,20
18,45,49,21
22,44,51,18
10,61,55,10
17,42,49,18
23,27,43,10
11,52,48,22
10,43,37,13
22,43,54,15
17,44,56,7
14,36,45,11
18,33,46,12
21,21,36,10
27,48,50,15
14,40,47,17
11,43,49,13
16,43,50,16
39,32,54,10
21,42,45,18
10,44,47,17
13,48,50,20
16,41,50,12
15,39,49,12
23,34,45,12
20,40,47,20
25,46,60,17
1,46,55,3
8,56,63,11
13,35,42,11
13,51,48,23
11,48,54,10
7,25,24,7
18,32,52,8
36,57,60,37
16,55,42,25
16,43,47,17
17,45,44,25
4,54,33,30
32,54,59,38
29,57,62,30
33,37,63,12
5,53,24,36
27,29,62,0
7,34,37,12
37,60,64,61
7,48,30,24
9,25,30,11
17,57,46,38
14,53,29,41
40,38,61,20
5,51,34,27
17,54,39,30
11,52,51,1
4,22,28,7
25,59,55,35
11,33,39,14
20,53,42,35
22,27,45,11
15,39,31,25
14,57,28,42
4,62,21,49
48,59,61,50
47,41,58,32
3,35,23,19
2,17,14,7
47,57,59,47
43,54,53,45
10,33,17,28
16,27,29,14
21,37,31,27
36,48,49,40
22,14,37,6
49,46,63,32
3,19,13,11
47,53,59,45
11,56,23,49
16,44,27,35
48,15,56,8
13,40,22,34
51,41,58,35
35,22,43,15
32,31,42,22
44,60,53,51
5,16,16,7
23,47,33,39
7,30,17,21
22,61,37,48
37,24,48,14
8,17,13,11
25,51,32,45
5,31,25,16
52,40,64,30
5,55,18,45
39,40,50,31
16,49,27,35
37,26,54,11
10,16,20,8
15,36,31,22
41,22,55,10
47,22,58,12
19,22,29,13
46,28,61,17
42,28,55,19
45,57,56,47
